利用日,店名,金額,カード,支払区分,区分,領収書,判定理由,明細備考
2026-05-31,ドコモご利用料金,7779,本人,1回,その他,,通信固定費（Web明細）,
2026-06-10,JS/闘鶏次郎,8200,本人,1回,なし,,対応する領収書が未提出,
2026-06-11,二ノ宮 稀/PG,12000,本人,1回,なし,,対応する領収書が未提出,
2026-06-12,バルチカ03エキウエ,9550,本人,1回,なし,,対応する領収書が未提出,
2026-06-13,HOTEL ON BOOKING.COM,19210,本人,1回,なし,,対応する領収書が未提出,
2026-06-13,ENEOS,500,本人,1回,なし,,対応する領収書が未提出,
2026-06-13,ENEOS,7687,本人,1回,なし,,対応する領収書が未提出,
2026-06-14,大垣書店 豊中緑丘店,1985,本人,1回,なし,,対応する領収書が未提出,
2026-06-14,のらや 箕面店/PG,5350,本人,1回,なし,,対応する領収書が未提出,
2026-06-16,JR東日本モバイルSuica,10000,本人,1回,その他,,公共交通・移動（インボイス特例の対象になりうる）,
2026-06-16,GOアプリ〔乗車料金〕,1200,本人,1回,その他,,公共交通・移動（インボイス特例の対象になりうる）,
2026-06-17,海鮮もんじゃ おこげ 浅草店,7898,本人,1回,なし,,対応する領収書が未提出,
2026-06-17,スマートEX〔JR東海〕,19190,本人,1回,その他,,公共交通・移動（インボイス特例の対象になりうる）,
2026-06-17,スマートEX〔JR東海〕,19390,本人,1回,その他,,公共交通・移動（インボイス特例の対象になりうる）,
2026-06-18,CTB*BEAUS,22000,本人,1回,なし,,対応する領収書が未提出,
2026-06-19,Apple iTunes Store,450,本人,1回,その他,,サブスク・クラウド（Web領収書をDL可）,
2026-06-20,GOアプリ〔乗車料金〕,5800,本人,1回,その他,,公共交通・移動（インボイス特例の対象になりうる）,
2026-06-21,CarneSio WEST,9900,本人,1回,あり,20260621_CarneSioWest_9900円_カード.jpg,金額＋店名/日付が一致,
2026-06-21,ブルニール シンサイバシ,7700,本人,1回,なし,,対応する領収書が未提出,
2026-06-22,UTAGE,1980,本人,1回,その他,,サブスク・クラウド（Web領収書をDL可）,
2026-06-22,スマートEX〔JR東海〕,-5080,本人,1回,その他,,公共交通・移動（インボイス特例の対象になりうる）,
2026-06-23,GOOGLE *GOOGLE ONE,290,本人,1回,その他,,サブスク・クラウド（Web領収書をDL可）,
2026-06-24,JPSA HANSHIN,11000,本人,1回,なし,,対応する領収書が未提出,
2026-06-25,GOOGLE *YOUTUBE MEMBER,1790,本人,1回,その他,,サブスク・クラウド（Web領収書をDL可）,
2026-06-26,NOTION LABS， INC.,121107,本人,1回,その他,,サブスク・クラウド（Web領収書をDL可）,現地通貨額:720.00 USD
2026-06-27,ブックファースト阪急西宮ガーデンズ店,4009,本人,1回,なし,,対応する領収書が未提出,
2026-06-27,阪急西宮ガーデンズ,5900,本人,1回,なし,,対応する領収書が未提出,
2026-06-27,GOアプリ〔乗車料金〕,8500,本人,1回,その他,,公共交通・移動（インボイス特例の対象になりうる）,
2026-06-29,Jolie Brassorie,19800,本人,1回,なし,,対応する領収書が未提出,
2026-06-29,グラングリーン大阪南賃貸棟駐車場,600,本人,1回,その他,,公共交通・移動（インボイス特例の対象になりうる）,
2026-06-30,OPENAI *CHATGPT SUBSCR,3000,本人,1回,その他,,サブスク・クラウド（Web領収書をDL可）,
2026-06-30,MELANGE,18480,本人,1回,なし,,対応する領収書が未提出,
2026-07-01,CHATWORK BUSINESS PLAN,924,本人,1回,その他,,サブスク・クラウド（Web領収書をDL可）,
2026-07-01,Apple iTunes Store,2000,本人,1回,その他,,サブスク・クラウド（Web領収書をDL可）,
2026-07-01,GOOGLE*WORKSPACE BALENCER.JP G,10450,本人,1回,その他,,サブスク・クラウド（Web領収書をDL可）,
2026-07-01,MEILISEARCH BUILD PLAN,8542,本人,1回,その他,,サブスク・クラウド（Web領収書をDL可）,現地通貨額:50.60 USD
2026-07-02,アマゾン JP マーケットプレイス,920,本人,1回,なし,,対応する領収書が未提出,
2026-07-02,SHISHAKISSATEN UMEDA,8540,本人,1回,なし,,対応する領収書が未提出,
2026-07-02,JR東日本モバイルSuica,10000,本人,1回,その他,,公共交通・移動（インボイス特例の対象になりうる）,
2026-07-02,梅田日本酒エビス,14190,本人,1回,なし,,対応する領収書が未提出,
2026-07-02,GOアプリ〔乗車料金〕,1500,本人,1回,その他,,公共交通・移動（インボイス特例の対象になりうる）,
2026-07-03,秋吉 西中島店,7980,本人,1回,あり,20260703_秋吉西中島店_7980円_カード.jpg,金額＋店名/日付が一致,
2026-07-04,HOTEL ON BOOKING.COM,15896,本人,1回,なし,,対応する領収書が未提出,
2026-07-04,阪急西宮ガーデンズ,4840,本人,1回,なし,,対応する領収書が未提出,
2026-07-06,JR東日本モバイルSuica,10000,本人,1回,その他,,公共交通・移動（インボイス特例の対象になりうる）,
2026-07-06,アチ-ブメント,247500,本人,1回,なし,,対応する領収書が未提出,
2026-07-06,アチ-ブメント株式会社,33000,本人,1回,なし,,対応する領収書が未提出,
2026-07-07,XEX WEST,6200,本人,1回,なし,,対応する領収書が未提出,
2026-07-07,ANTHROPIC* CLAUDE TEAM,13887,本人,1回,その他,,サブスク・クラウド（Web領収書をDL可）,現地通貨額:82.50 USD
2026-07-08,SLACK T07DN8VHLF2,1848,本人,1回,その他,,サブスク・クラウド（Web領収書をDL可）,
2026-07-08,THE LIVELY,2000,本人,1回,なし,,対応する領収書が未提出,
2026-07-09,アクセア京都駅前店,8263,本人,1回,なし,,対応する領収書が未提出,
2026-05-31,ドコモご利用料金,8153,家族,1回,その他,,通信固定費（Web明細）,
2026-06-12,田村書店 千里中央店,6490,家族,1回,なし,,対応する領収書が未提出,
2026-06-12,ルクア大阪[飲食店等],2160,家族,1回,なし,,対応する領収書が未提出,
2026-06-16,ディプティック,20240,家族,1回,なし,,対応する領収書が未提出,
2026-06-17,JR東日本モバイルSuica,10000,家族,1回,その他,,公共交通・移動（インボイス特例の対象になりうる）,
2026-06-27,ブックファースト阪急西宮ガーデンズ店,5555,家族,1回,なし,,対応する領収書が未提出,
2026-07-01,田村書店 千里中央店,715,家族,1回,なし,,対応する領収書が未提出,
2026-07-02,アマゾン JP マーケットプレイス,2199,家族,1回,なし,,対応する領収書が未提出,
2026-07-05,アマゾン シーオージェーピー,2220,家族,1回,なし,,対応する領収書が未提出,
2026-07-07,大垣書店 豊中緑丘店,379,家族,1回,なし,,対応する領収書が未提出,
